"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2023","881.030","790.500","906.695","788.500","","11.52%"
"01/11/2023","790.000","787.500","846.470","786.045","","0.64%"
"01/10/2023","785.000","769.550","884.500","747.100","","2.21%"
"01/09/2023","768.000","773.500","798.500","738.040","","-0.65%"
"01/08/2023","773.000","760.400","792.500","740.500","","1.86%"
"01/07/2023","758.900","760.270","799.500","756.500","","0.02%"
"01/06/2023","758.770","461.100","775.500","460.500","","64.74%"
"01/05/2023","460.600","460.470","465.500","460.300","","0.14%"
"01/04/2023","459.970","460.340","460.540","459.970","","0.03%"
"01/03/2023","459.840","460.470","460.550","460.290","","-0.03%"
"01/02/2023","459.970","460.520","460.600","459.490","","-0.01%"
"01/01/2023","460.020","448.080","460.520","445.500","","2.78%"
"01/12/2022","447.580","443.940","455.500","443.500","","0.93%"
"01/11/2022","443.440","438.350","443.940","438.350","","1.28%"
"01/10/2022","437.850","432.370","441.500","414.380","","1.38%"
"01/09/2022","431.870","421.880","435.500","419.500","","2.49%"
"01/08/2022","421.380","415.870","428.500","415.850","","1.45%"
"01/07/2022","415.370","415.270","425.500","414.700","","0.14%"
"01/06/2022","414.770","415.200","419.500","414.290","","0.02%"
"01/05/2022","414.700","415.260","415.500","414.300","","-0.01%"
"01/04/2022","414.760","415.750","415.750","414.500","","-0.12%"
"01/03/2022","415.250","416.020","416.090","411.000","","-0.06%"
"01/02/2022","415.520","415.830","417.050","414.760","","0.05%"
"01/01/2022","415.330","411.950","415.830","411.930","","0.88%"
"01/12/2021","411.700","409.890","413.500","409.890","","0.50%"
"01/11/2021","409.640","410.310","414.230","409.500","","-0.10%"
"01/10/2021","410.060","410.800","413.500","410.100","","0.06%"
"01/09/2021","409.800","411.500","413.500","409.260","","-0.29%"
"01/08/2021","411.000","411.500","412.000","409.500","","0.00%"
"01/07/2021","411.000","411.500","411.500","411.250","","0.00%"
"01/06/2021","411.000","413.000","413.375","408.500","","0.12%"
"01/05/2021","410.500","381.050","413.450","380.750","","7.87%"
"01/04/2021","380.550","381.050","381.275","380.750","","0.00%"
"01/03/2021","380.550","381.080","381.290","380.750","","-0.01%"
"01/02/2021","380.580","381.200","381.350","380.750","","-0.03%"
"01/01/2021","380.700","381.200","381.350","380.250","","0.00%"
"01/12/2020","380.700","381.200","381.350","380.250","","0.00%"
"01/11/2020","380.700","381.200","382.345","380.250","","0.00%"
"01/10/2020","380.700","381.100","381.350","380.250","","0.03%"
"01/09/2020","380.600","381.200","381.350","380.250","","-0.03%"
"01/08/2020","380.700","381.000","381.500","379.500","","0.05%"
"01/07/2020","380.500","360.500","385.500","360.500","","5.69%"
"01/06/2020","360.000","360.500","361.250","360.500","","0.00%"
"01/05/2020","360.000","360.500","361.750","360.250","","0.00%"
"01/04/2020","360.000","360.500","361.500","360.250","","0.00%"
"01/03/2020","360.000","306.400","380.250","305.550","","17.69%"
"01/02/2020","305.900","306.500","307.250","306.400","","-0.03%"
"01/01/2020","306.000","306.500","307.500","305.550","","0.00%"
"01/12/2019","306.000","306.500","307.200","306.350","","0.00%"
"01/11/2019","306.000","306.500","307.450","306.400","","0.00%"
"01/10/2019","306.000","306.450","307.475","306.400","","0.02%"
"01/09/2019","305.950","306.500","307.250","306.300","","-0.02%"
"01/08/2019","306.000","306.300","307.250","306.300","","0.07%"
"01/07/2019","305.800","306.400","307.250","306.300","","-0.03%"
"01/06/2019","305.900","306.400","307.250","306.340","","0.00%"
"01/05/2019","305.900","306.450","314.750","306.340","","-0.02%"
"01/04/2019","305.950","306.400","314.750","304.250","","0.02%"
"01/03/2019","305.900","314.750","314.750","306.300","","0.03%"
"01/02/2019","305.820","307.250","314.750","305.550","","-0.30%"
"01/01/2019","306.750","306.850","314.750","304.750","","-0.08%"
"01/12/2018","307.000","306.280","307.500","304.750","","0.40%"
"01/11/2018","305.780","306.050","314.750","304.750","","0.08%"
"01/10/2018","305.550","305.750","314.750","304.700","","-0.26%"
"01/09/2018","306.350","305.650","314.750","304.600","","0.39%"
"01/08/2018","305.150","305.380","315.250","304.750","","0.09%"
"01/07/2018","304.880","314.750","315.250","304.750","","-0.12%"
"01/06/2018","305.250","306.200","315.250","305.500","","-0.15%"
"01/05/2018","305.700","305.850","315.250","305.450","","0.16%"
"01/04/2018","305.200","315.050","315.250","305.300","","0.02%"
"01/03/2018","305.150","314.750","321.000","305.150","","-0.08%"
"01/02/2018","305.400","314.750","315.250","305.250","","0.07%"
"01/01/2018","305.200","314.750","315.250","305.250","","-0.38%"
"01/12/2017","306.350","314.750","315.250","305.500","","0.28%"
"01/11/2017","305.500","315.250","320.250","305.250","","-0.10%"
"01/10/2017","305.800","314.750","325.250","305.300","","0.02%"
"01/09/2017","305.750","305.800","328.250","305.250","","0.25%"
"01/08/2017","305.000","314.750","315.250","301.750","","-0.21%"
"01/07/2017","305.650","305.320","332.550","305.090","","0.25%"
"01/06/2017","304.880","319.855","327.330","304.750","","0.17%"
"01/05/2017","304.350","305.300","326.800","304.800","","-1.79%"
"01/04/2017","309.895","305.850","323.500","305.000","","1.49%"
"01/03/2017","305.350","304.950","318.500","302.500","","0.30%"
"01/02/2017","304.450","304.750","318.500","304.480","","0.07%"
